"TreeID","Richness"
"o100",18
"o101",17
"o102",17
"o103",81
"o105",28
"o108",89
"o119",44
"o120",58
"o122",29
"o127",25
"o128",42
"o131",9
"o134",24
"o137",14
"o138",8
"o139",14
"o141",39
"o142",12
"o143",34
"o145",13
"o146",17
"o148",16
"o151",20
"o155",8
"o156",7
"o175",30
"o176",5
"o177",11
"o178",22
"o179",11
"o180",10
"o182",33
"o183",20
"o184",66
"o186",12
"o187",8
"o189",7
"o190",9
"o191",10
"o192",11
"o193",10
"o194",13
"o195",21
"o212",35
"o213",1
"o216",60
"o219",5
"o220",5
"o225",24
"o226",26
"o227",244
"o228",14
"o232",102
"o233",53
"o235",24
"o295",8
"o296",63
"o299",54
"o300",19
"o301",35
"o302",16
"o303",22
"o304",16
"o311",10
"o312",22
"o314",69
"o315",29
"o318",5
"o320",6
"o322",28
"o325",60
"o326",13
"o329",25
"o333",37
"o334",13
"o335",10
"o337",8
"o35",11
"o36",10
"o37",30
"o386",35
"o387",77
"o38",7
"o393",6
"o394",4
"o395",11
"o404",6
"o405",9
"o407",6
"o408",21
"o40",42
"o411",14
"o505",24
"o506",28
"o507",46
"o508",39
"o51",8
"o52",6
"o53",22
"o61",17
"o62",21
"o69",7
"o72",11
"o76",55
"o77",23
"o78",57
"o79",4
"o87",15
"o88",17
"o89",18
"o90",72
"o98",5
"o99",16
